"","LabCode","SampleID","CombineGroup","Region","SiteID","Site_Name_JP","Site_Address_JP","Context_JP","MaterialType_JP","MaterialType_En","PotteryPhase_JP","Phase","Phase_Details","PhaseAnalysis","CRA","Error","Delta13C","Delta13CError","Source"
"101","PLD-4076","IWM-C8",NA,"Tohoku",487,"金附遺跡","岩手県北上市","MⅢ,7区,4層","炭化材","Charred Remains","大洞A’式～青木畑式","B6","","B6",2335,25,"-25.35","0.16","小林謙一・坂本　稔・尾嵜大真・新免歳靖・村本周三・金子昭彦2006「8 岩手県北上市金附遺跡出土試料の14C年代測定」『金附遺跡発掘調査報告書』岩手県文化振興事業団埋蔵文化財調査報告書第482集,　緊急地方道路整備事業関連遺跡発掘調査　県営ほ場整備事業下門岡地区関連遺跡発掘調査（第1分冊　本文、遺構・分析・考察編）,岩手県北上地方振興局土木部,　岩手県北上地方振興局農林部農村整備室, (財)　岩手県文化振興事業団埋蔵文化財センター"
"102","PLD-4077","IWM-C9",NA,"Tohoku",487,"金附遺跡","岩手県北上市","MⅢ,22区,4b層","炭化材","Charred Remains","大洞A’式～青木畑式","B6","","B6",2225,30,"-26.84","0.17","小林謙一・坂本　稔・尾嵜大真・新免歳靖・村本周三・金子昭彦2006「8 岩手県北上市金附遺跡出土試料の14C年代測定」『金附遺跡発掘調査報告書』岩手県文化振興事業団埋蔵文化財調査報告書第482集,　緊急地方道路整備事業関連遺跡発掘調査　県営ほ場整備事業下門岡地区関連遺跡発掘調査（第1分冊　本文、遺構・分析・考察編）,岩手県北上地方振興局土木部,　岩手県北上地方振興局農林部農村整備室, (財)　岩手県文化振興事業団埋蔵文化財センター"
"103","PLD-4078","IWM-C10",NA,"Tohoku",487,"金附遺跡","岩手県北上市","MⅢ,19区,8層(3-4層の下)","炭化材","Charred Remains","大洞A’式？","B6","","B6",2455,25,"-26.97","0.14","小林謙一・坂本　稔・尾嵜大真・新免歳靖・村本周三・金子昭彦2006「8 岩手県北上市金附遺跡出土試料の14C年代測定」『金附遺跡発掘調査報告書』岩手県文化振興事業団埋蔵文化財調査報告書第482集,　緊急地方道路整備事業関連遺跡発掘調査　県営ほ場整備事業下門岡地区関連遺跡発掘調査（第1分冊　本文、遺構・分析・考察編）,岩手県北上地方振興局土木部,　岩手県北上地方振興局農林部農村整備室, (財)　岩手県文化振興事業団埋蔵文化財センター"
"104","IAAA-31122","YGT-16",NA,"Tohoku",519,"高瀬山遺跡","山形県寒河江市","2区西調査区湧水地点水場遺構","漆","Lacquer","大洞A式","B5","","B5",2490,40,"-32.71","0.66","小林謙一・今村峯雄・坂本稔・陳建立・小林圭一2005「山形県高瀬山遺跡出土土器付着物の14C年代測定」『高瀬山遺跡（HO地区）発掘調査報告書』山形県埋蔵文化財センター調査報告書第145集"
"105","IAAA-31123","YGT-17",NA,"Tohoku",519,"高瀬山遺跡","山形県寒河江市","2区東調査区晩期木組遺構,西ベルト,水さらし","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2940,40,"-23.59","0.64","小林謙一・今村峯雄・坂本稔・陳建立・小林圭一2005「山形県高瀬山遺跡出土土器付着物の14C年代測定」『高瀬山遺跡（HO地区）発掘調査報告書』山形県埋蔵文化財センター調査報告書第145集"
"106","BETA-182489","YGT-18",NA,"Tohoku",519,"高瀬山遺跡","山形県寒河江市","2区東調査区遺物集中地点、,RP2792","土器付着物","Ceramic Organic Residue","大洞B1式(古）","B1","","B1",3080,40,"-27.3","","小林謙一・今村峯雄・坂本稔・陳建立・小林圭一2005「山形県高瀬山遺跡出土土器付着物の14C年代測定」『高瀬山遺跡（HO地区）発掘調査報告書』山形県埋蔵文化財センター調査報告書第145集"
"107","BETA-189581","YGT-43",NA,"Tohoku",399,"砂子田遺跡","山形県天童市","","漆","Lacquer","大洞A2式","B5","","B5",2440,40,"-29.8","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・小林圭一・坂本　稔・松崎浩之）2005「山形県内遺跡出土試料の14C年代測定」『（財）山形県埋蔵文化財センター研究紀要』第3号,（財）山形県埋蔵文化財センター"
"108","MTC-4911","YGT-44",NA,"Tohoku",399,"砂子田遺跡","山形県天童市","スナコダⅡ中央H10④Ⅵ6","土器付着物","Ceramic Organic Residue","大洞A2式","B5","","B5",2570,35,"-29.8","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・小林圭一・坂本　稔・松崎浩之）2005「山形県内遺跡出土試料の14C年代測定」『（財）山形県埋蔵文化財センター研究紀要』第3号,（財）山形県埋蔵文化財センター"
"109","MTC-4912","YGT-46 a",NA,"Tohoku",399,"砂子田遺跡","山形県天童市","スナコダⅡ中央E-10,③","土器付着物","Ceramic Organic Residue","大洞A2式","B5","","B5",2465,35,"-25.8","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・小林圭一・坂本　稔・松崎浩之）2005「山形県内遺跡出土試料の14C年代測定」『（財）山形県埋蔵文化財センター研究紀要』第3号,（財）山形県埋蔵文化財センター"
"110","BETA-189577","YGT-47",NA,"Tohoku",399,"砂子田遺跡","山形県天童市","","漆","Lacquer","大洞A2式","B5","","B5",2450,40,"-29.7","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・小林圭一・坂本　稔・松崎浩之）2005「山形県内遺跡出土試料の14C年代測定」『（財）山形県埋蔵文化財センター研究紀要』第3号,（財）山形県埋蔵文化財センター"
"111","BETA-189578","YGT-7",NA,"Tohoku",183,"宮の前遺跡","山形県村山市","RP508","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2620,40,"-25.5","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・小林圭一・坂本　稔・松崎浩之）2005「山形県内遺跡出土試料の14C年代測定」『（財）山形県埋蔵文化財センター研究紀要』第3号,（財）山形県埋蔵文化財センター"
"112","MTC-6989","YGT-13b",NA,"Tohoku",114,"北柳1遺跡","山形県山形市","1次調査4b廃棄ブロック,発掘調査報告書1997-28図207","土器付着物","Ceramic Organic Residue","大洞A'式","B6","","B6",2410,40,"","-26.9","国立歴史民俗博物館・年代測定研究グループ（小林謙一・小林圭一・坂本　稔・松崎浩之）2006「山形県内遺跡出土試料の14C年代測定(2)」『（財）山形県埋蔵文化財センター研究紀要』第4号"
"113","MTC-4307","CBM-009",NA,"Kanto",18,"三直貝塚","千葉県君津市","6C-36-9","土器付着物","Ceramic Organic Residue","前浦式","B4","","B4",2845,35,"-30.6","","小林謙一・坂本　稔・松崎浩之2006「千葉県三直貝塚出土土器付着物の14C年代測定」『東関東自動車道（木更津・富津線）埋蔵文化財調査報告書７-君津市三直貝塚-』千葉県教育振興財団調査報告第533集　千葉県教育振興財団"
"114","MTC-4308","CBM-011",NA,"Kanto",18,"三直貝塚","千葉県君津市","6C-06-32","土器付着物","Ceramic Organic Residue","姥山Ⅲ式（安行3c式）","B3","","B3",2830,35,"-27.5","","小林謙一・坂本　稔・松崎浩之2006「千葉県三直貝塚出土土器付着物の14C年代測定」『東関東自動車道（木更津・富津線）埋蔵文化財調査報告書７-君津市三直貝塚-』千葉県教育振興財団調査報告第533集　千葉県教育振興財団"
"115","MTC-4327","GNA-010",NA,"Kanto",172,"天神原遺跡","群馬県安中市","5B-3D,234P-6","土器付着物","Ceramic Organic Residue","天神原式（安行3c式）","B3","","B3",2710,35,"-37.1","",""
"116","MTC-4328","GNA-014",NA,"Kanto",172,"天神原遺跡","群馬県安中市","5-6,232P-4","土器付着物","Ceramic Organic Residue","安行3b式","B2","","B2",2850,35,"-38.7","",""
"117","BETA-173153","MMS-22P-13",NA,"Kanto",21,"三輪野山遺跡","千葉県流山市","8-2地点,22号ﾋﾟｯﾄ群","土器付着物","Ceramic Organic Residue","安行3a式?","B1","","B1",2820,40,"-27.3","","小林謙一・坂本稔・新免歳靖・尾嵜大真・村本周三・小栗信一郎・小川勝和2007「流山市三輪野山貝塚における14C年代測定研究」『研究報告』137集"
"118","BETA-177288","THM-1",NA,"Kanto",121,"南広間地遺跡","東京都日野市","包含層","土器付着物","Ceramic Organic Residue","浮線文古段階（女鳥羽川式併行）から氷Ⅰ・Ⅱ式併行","B5","","B5",2670,40,"-23","","小林謙一・今村峯雄2003「南広間地遺跡出土土器の炭素年代測定」『南広間地遺跡』一般国道20号（日野バイパス日野地区）改築工事に伴う埋蔵文化財調査報告書、国土交通省関東地方整備局相武国道工事事務所"
"119","BETA-173154","TMT-51",NA,"Kanto",381,"田端遺跡","東京都町田市","12-E区,BS2,Ⅱ層51","土器付着物","Ceramic Organic Residue","安行3a式(大洞B式)","B1","","B1",2850,40,"-28.2","","小林謙一・今村峯雄・坂本稔2003「田端遺跡出土土器の炭素年代測定」『田端遺跡－田端環状積石遺構周辺地域における詳細分布調査報告書－』町田市教育委員会"
"120","IAAA-40508","TTHS-103",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅲ,主要調査地点E,G12,2593,河道2","土器付着物","Ceramic Organic Residue","安行3c式","B3","","B3",2730,60,"-26.28","0.86","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"121","MTC-6718","TTHS-66",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅵ,主要調査地点B,B21,155,河道1","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2930,35,"-27.7","","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"122","MTC-4604","TTHS-67",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅵ,主要調査地点B,B21,43,河道1","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2895,30,"-22.4","","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"123","MTC-4605","TTHS-70",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅵ,主要調査地点B,B22,2396,河道1","土器付着物","Ceramic Organic Residue","安行3b式","B2","","B2",2995,35,"-28.4","","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"124","PLD-4642","TTHS-71 a",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅵ,主要調査地点B,B22,2283,河道1","土器付着物","Ceramic Organic Residue","安行3b式","B2","","B2",2970,20,"-24.85","0.12","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"125","MTC-4606","TTHS-72",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅵ,主要調査地点B,B23,945,河道1","土器付着物","Ceramic Organic Residue","安行3a～3b式","B1","","B1",2910,50,"-24.4","","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"126","MTC-4607","TTHS-73",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅵ,主要調査地点B,B22,1742,河道1","土器付着物","Ceramic Organic Residue","安行3a式","B1","","B1",2975,35,"-25.7","","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"127","PLD-4643","TTHS-75",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅵ,主要調査地点B,B23,697,河道1","土器付着物","Ceramic Organic Residue","安行3a-3b式","B1","","B1",2935,25,"-26.17","0.13","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"128","MTC-4608","TTHS-76",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅵ,主要調査地点B,B23,586,河道1","土器付着物","Ceramic Organic Residue","安行3b式","B2","","B2",2995,35,"-27.1","","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"129","BETA-193770","TTHS-84",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅲ,主要調査地点E,H12,573,河道2","土器付着物","Ceramic Organic Residue","安行3c式","B3","","B3",2920,40,"-26.4","","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"130","MTC-4610","TTHS-91",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅲ,主要調査地点E,G12,1592,河道2","土器付着物","Ceramic Organic Residue","安行3d式","B4","","B4",2750,30,"-24.8","","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"131","IAAA-40507","TTHS-93",NA,"Kanto",42,"下宅部遺跡","東京都東村山市多摩湖町4丁目3・4番地ほか","調査区Ⅲ,主要調査地点E,H12,2610,河道2","土器付着物","Ceramic Organic Residue","安行3d式","B4","","B4",2800,40,"-26.92","0.98","国立歴史民俗博物館年代測定研究グループ（小林謙一ほか）・工藤雄一郎2006「下宅部遺跡出土土器付着物及び土器付着漆の14C年代測定」『下宅部遺跡Ⅰ』（下宅部遺跡調査団編）"
"132","TKA-17213","KNMHK-1874",NA,"Kanto",15,"三廻部東耕地","神奈川県秦野市","5区","土器付着物","Ceramic Organic Residue","清水天王山新","B1","","B1",3008,21,"26.2","","(公)かながわ考古学財団　2017「三廻部東耕地遺跡（秦野市№125）」「平成29年度発掘調査成果発表会」発表要旨　公益財団法人かながわ考古学財団・横浜市歴史博物館"
"133","YU-4568","TGMBK-8-b",NA,"Kanto",99,"刈沼遺跡","栃木県宇都宮市野高谷町","イ４Ｋ2K　14層№288ほか","土器付着物","Ceramic Organic Residue","大洞C2","B4","","B4",2605,22,"","","小林謙一2017「刈沼遺跡出土試料の14C年代測定と較正年代」『栃木県埋蔵文化財調査報告書第388集刈沼遺跡・刈沼向原遺跡』栃木県教育委員会・とちぎ未来つくり財団"
"134","YU-4536","TGMBK-10",NA,"Kanto",99,"刈沼遺跡","栃木県宇都宮市","イ1J6　Nベ1回目N6　981126","土器付着物","Ceramic Organic Residue","大洞B1","B1","","B1",3073,27,"","","小林謙一2017「刈沼遺跡出土試料の14C年代測定と較正年代」『栃木県埋蔵文化財調査報告書第388集刈沼遺跡・刈沼向原遺跡』栃木県教育委員会・とちぎ未来つくり財団"
"135","YU-4542","TGMBK-11",NA,"Kanto",99,"刈沼遺跡","栃木県宇都宮市","イ0J4-5　№39　980902","土器付着物","Ceramic Organic Residue","大洞C1","B3","","B3",2836,21,"","","小林謙一2017「刈沼遺跡出土試料の14C年代測定と較正年代」『栃木県埋蔵文化財調査報告書第388集刈沼遺跡・刈沼向原遺跡』栃木県教育委員会・とちぎ未来つくり財団"
"136","YU-4569","TGMBK-12",NA,"Kanto",99,"刈沼遺跡","栃木県宇都宮市","イ４Ｋ0-19　23区","土器付着物","Ceramic Organic Residue","安行3c　","B3","","B3",2885,25,"","","小林謙一2017「刈沼遺跡出土試料の14C年代測定と較正年代」『栃木県埋蔵文化財調査報告書第388集刈沼遺跡・刈沼向原遺跡』栃木県教育委員会・とちぎ未来つくり財団"
"137","YU-4538","TGMBK-2",11,"Kanto",99,"刈沼遺跡","栃木県宇都宮市","イ４Ｋ１P（Pit群6）13層24区","土器付着物","Ceramic Organic Residue","姥山2","B2","","B2",3021,21,"","","小林謙一2017「刈沼遺跡出土試料の14C年代測定と較正年代」『栃木県埋蔵文化財調査報告書第388集刈沼遺跡・刈沼向原遺跡』栃木県教育委員会・とちぎ未来つくり財団"
"138","YU-4570","TGMBK-2",11,"Kanto",99,"刈沼遺跡","栃木県宇都宮市","","土器付着物","Ceramic Organic Residue","姥山2","B2","","B2",2965,25,"","","小林謙一2017「刈沼遺跡出土試料の14C年代測定と較正年代」『栃木県埋蔵文化財調査報告書第388集刈沼遺跡・刈沼向原遺跡』栃木県教育委員会・とちぎ未来つくり財団"
"139","YU-4540","TGMBK-5",NA,"Kanto",99,"刈沼遺跡","栃木県宇都宮市","SI-2D　2住3層B区p2,床下3・4・6層B区、床下6層p5など","土器付着物","Ceramic Organic Residue","大洞C2","B4","","B4",2904,22,"","","小林謙一2017「刈沼遺跡出土試料の14C年代測定と較正年代」『栃木県埋蔵文化財調査報告書第388集刈沼遺跡・刈沼向原遺跡』栃木県教育委員会・とちぎ未来つくり財団"
"140","YU-4541","TGMBK-6",NA,"Kanto",99,"刈沼遺跡","栃木県宇都宮市","イ４Ｋ2D　13層3区№68ほか","土器付着物","Ceramic Organic Residue","姥山2","B2","","B2",3053,21,"","","小林謙一2017「刈沼遺跡出土試料の14C年代測定と較正年代」『栃木県埋蔵文化財調査報告書第388集刈沼遺跡・刈沼向原遺跡』栃木県教育委員会・とちぎ未来つくり財団"
"141","TKA-17008","SASAMK-8",NA,"Kanto",125,"南鴻沼遺跡","埼玉県さいたま市","№1083","スス","Soot","安行3c～d","B4","","B4",2607,19,"","","小林謙一・米田穣2017「さいたま市南鴻沼遺跡出土土器付着物の炭素14年代測定」『南鵠沼遺跡』さいたま市遺跡調査会"
"142","BETA-140616","",NA,"Kanto",437,"荒海川表","千葉県成田市","","炭化材","Charred Remains","荒海","B6","","B6",2390,40,"","","今村峯雄・小林謙一2004「年代測定」『千葉県の歴史　資料編　考古４（遺跡・遺構・遺物）』県史シリーズ12　千葉県史料研究財団"
"143","BETA-177280","IKN-2",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","40土坑,砂層","土器付着物","Ceramic Organic Residue","御径塚3式","B2","","B2",3070,40,"-24.8","","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"144","BETA-177282","IKN-4",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","40土坑,砂層","土器付着物","Ceramic Organic Residue","大洞B-C式,御径塚4式(中屋式）","B2","","B2",3070,40,"-25.1","","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"145","BETA-201252","IKN-7",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","X4区,40土坑,①層","漆","Lacquer","大洞C1式","B3","","B3",2990,40,"-28.8","","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"146","PLD-5001","ISKM-11 b",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B2式,御経塚1式","B2","","B2",3030,20,"-26.17","0.14","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"147","PLD-5004","ISKM-13",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞C1-1式,中屋式","B3","","B3",2985,20,"-25.19","0.12","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"148","PLD-5006","ISKM-14 ",12,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B2式,御経塚式","B1","","B1",3000,20,"-25.77","0.11","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"149","PLD-5007","ISKM-14 ",12,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B2式,御経塚式","B1","","B1",2995,20,"-25.69","0.12","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"150","PLD-5011","ISKM-17 ",13,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B2式,御経塚式","B1","","B1",3010,20,"-26.13","0.14","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"151","PLD-5012","ISKM-17 ",13,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B2式,御経塚式","B1","","B1",2980,20,"-25.29","0.19","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"152","PLD-5014","ISKM-21",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B2式,御経塚式","B1","","B1",2985,20,"-25.6","0.12","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"153","PLD-5015","ISKM-22 ",14,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞C1-1式","B3","","B3",2905,20,"-25.57","0.19","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"154","PLD-5016","ISKM-22 ",14,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞C1-1式","B3","","B3",2910,20,"-25.8","0.2","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"155","PLD-5017","ISKM-22 ",14,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞C1-1式","B3","","B3",2975,20,"-25.72","0.14","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"156","PLD-5018","ISKM-23",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","御経塚B1式","B1","","B1",3000,20,"-25.56","0.11","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"157","PLD-5019","ISKM-24",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B1式,御経塚式","B1","","B1",3015,20,"-24.96","0.15","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"158","PLD-5020","ISKM-25 b",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B-C1式","B2","","B2",2915,20,"-25.33","0.14","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"159","PLD-5022","ISKM-27",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B2式,御経塚式","B1","","B1",2975,20,"-25.1","0.15","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"160","PLD-5023","ISKM-30",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B-C1式","B2","","B2",2925,20,"-24.73","0.12","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"161","PLD-5024","ISKM-31",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞B2式","B1","","B1",2920,20,"-24.85","0.19","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
"162","PLD-5025","ISKM-32",NA,"Hokuriku",53,"中屋サワ遺跡","石川県金沢市中屋町・福増町（石川県鉄工団地北端）","","土器付着物","Ceramic Organic Residue","大洞C1-1式,中屋式","B3","","B3",2785,20,"-26.47","0.2","小林謙一・坂本稔・永嶋正春・今村峯雄・山本直人2009「金沢市中屋サワ遺跡試料の14C年代測定」『石川県金沢市中屋サワ遺跡Ⅳ―縄文時代―』金沢市文化財紀要255"
